HIP,Plx,e_Plx,pmRA,pmDE,e_pmRA,e_pmDE,pmDE:pmRA
25,13.74,0.98,58.36,-108.64,0.73,0.68,-0.02
37,3.74,2.72,-6.92,7.03,2.23,2.14,-0.04
45,15.1,1.92,-37.2,-2.78,1.95,1.64,0.08
50,16.89,0.8,52.98,-20.52,0.56,0.55,-0.32
110,20.42,1.91,-29.92,-41.34,1.88,1.3,0.23
114,9.93,1.95,-10.28,-38.64,1.97,1.17,0.03
151,7.56,1.37,89.74,-15.52,1.03,0.96,-0.04
190,10.47,1.17,-49.43,-118.65,1.06,0.79,0.47
201,10.06,0.99,-13.19,17.41,0.7,0.56,0.38
210,7.65,1.93,-2.72,-4.67,2.27,0.96,0.29
223,21.58,1.65,62.25,-91.23,2.35,1.07,0.04
229,2.16,2.57,18.8,-5.1,1.59,1.59,-0.08
250,5.19,1.99,-8.04,-16.48,1.55,1.2,-0.18
274,0.93,0.57,-3.27,-1.83,0.55,0.49,-0.13
275,5.68,4.61,-24.45,-20.17,7.89,2.95,-0.43
306,14.36,2.44,150.24,-58.93,2.11,2.2,0.02
385,9.37,2.81,22.27,-64.96,2.13,2.35,0.24
391,6.95,1.91,-91.44,-29.53,1.63,1.22,-0.22
392,10.47,1.53,71.44,-33.54,1.91,0.93,-0.08
412,6.19,1.54,43.49,0.09,1.15,1.03,0.02
461,11.04,0.91,-14.88,26.52,0.87,0.56,0.15
488,7.92,1.61,-62.33,-34.68,1.57,1.49,-0.23
497,7.05,1.15,-6.91,-1.86,0.83,0.9,-0.2
508,3.28,0.85,-2.99,-2.59,0.82,0.64,0.09
510,11.07,1.0,21.0,-10.87,0.89,0.62,0.47
513,2.09,1.2,-9.03,15.82,1.6,1.16,-0.3
515,7.38,1.55,-9.75,-46.6,2.33,0.92,0.06
518,49.3,1.05,247.36,17.77,0.81,0.7,-0.04
584,7.89,2.34,72.06,-29.35,2.62,1.29,0.3
603,5.87,1.72,-4.44,-5.68,1.83,0.91,0.26
634,7.19,0.92,7.74,-16.16,0.72,0.62,-0.03
674,7.73,3.35,121.71,6.99,3.21,3.15,-0.01
689,12.72,0.86,114.26,9.75,1.06,0.57,-0.13
717,1.36,1.53,5.08,3.16,1.72,1.16,0.24
721,2.6,1.43,-0.01,-7.67,1.83,0.86,-0.16
730,7.0,0.74,46.45,13.08,0.88,0.87,-0.36
743,1.37,1.61,0.01,-7.69,1.21,1.41,-0.24
760,8.56,1.17,106.17,-39.37,1.12,1.47,-0.16
761,14.57,1.34,72.57,-9.99,1.68,0.82,0.11
763,1.42,1.15,7.72,-2.76,0.89,0.97,-0.06
768,13.8,1.3,276.8,38.24,1.32,0.81,0.36
777,8.17,1.89,-8.94,1.65,2.54,1.06,0.05
786,6.9,1.41,-50.81,-23.66,1.4,1.17,0.06
794,17.08,1.86,-68.9,-140.78,1.49,1.17,0.01
823,10.83,2.1,-8.2,14.07,1.79,1.34,-0.03
831,8.5,2.9,82.16,-25.58,2.27,3.4,-0.14
853,4.11,2.38,16.06,10.97,2.97,2.47,-0.18
862,13.51,2.44,15.68,-42.51,1.89,2.34,-0.14
865,15.06,0.7,121.5,18.57,0.76,0.64,0.16
876,1.62,0.92,7.58,-1.36,0.75,0.75,-0.07
913,5.09,1.26,18.94,-2.2,0.79,1.1,0.08
923,3.47,1.9,-5.18,-2.52,1.51,1.32,0.22
927,4.31,1.11,38.44,-6.92,0.86,1.07,-0.23
945,2.14,1.6,3.52,-10.46,1.39,1.24,-0.29
947,6.88,1.58,101.7,-11.0,1.77,0.96,0.34
956,12.79,1.43,-96.26,37.11,1.55,0.72,0.09
957,1.99,0.98,12.61,-1.12,0.85,0.84,-0.06
975,17.21,0.76,66.87,-150.8,0.58,0.7,0.0
981,9.42,0.74,38.9,-12.28,0.56,0.56,-0.38
984,4.88,1.22,48.58,-0.69,1.03,0.72,-0.29
995,3.99,1.02,-3.21,-8.15,0.63,0.6,-0.13
1001,4.61,1.4,-11.77,20.36,1.33,0.79,-0.15
1005,5.39,1.46,-0.02,-1.19,1.77,0.85,0.54
1009,6.3,0.82,98.84,-21.64,0.59,0.51,0.05
1040,5.43,1.7,45.48,-13.27,1.78,1.08,0.28
1055,24.96,2.95,223.65,5.88,3.04,2.41,0.53
1059,2.43,2.22,2.93,-10.95,1.96,1.41,0.63
1076,8.08,1.15,-15.68,-32.71,1.64,0.68,-0.03
1083,36.74,2.54,-209.24,-319.0,2.28,1.95,0.12
1095,5.97,3.04,31.55,-11.05,3.03,1.9,0.4
1144,20.23,1.2,-28.31,-144.53,1.44,0.79,-0.08
1148,22.51,1.49,182.08,27.46,1.34,1.26,-0.2
1167,1.62,1.56,6.6,-3.74,1.12,1.16,-0.41
1190,6.81,2.18,32.48,-31.91,2.8,1.31,-0.22
1194,4.35,1.08,11.15,-34.64,1.0,0.78,0.59
1200,0.78,0.82,4.11,-5.76,0.64,0.64,0.01
1248,2.99,2.47,35.45,-47.69,2.3,2.01,0.4
1281,5.18,1.48,52.63,-14.5,1.58,1.46,-0.02
1296,5.28,0.96,19.77,-3.13,1.1,0.94,0.06
1306,13.71,1.21,18.94,-39.74,1.35,0.69,0.05
1309,5.08,0.61,2.32,9.17,0.55,0.53,0.11
1319,7.38,0.92,-28.01,-14.69,0.79,0.53,0.41
1333,7.18,0.87,-27.92,-25.46,0.74,0.53,0.33
1336,11.15,1.3,89.22,46.91,0.96,0.69,0.22
1358,8.04,2.38,104.79,-51.75,2.4,1.74,0.53
1441,8.19,1.55,15.9,-19.97,1.39,0.85,0.16
1461,6.06,0.75,-1.79,-13.95,0.77,0.64,0.13
1464,4.29,1.34,1.37,-1.85,1.3,0.87,0.24
1482,9.58,1.73,44.94,-21.28,1.7,1.18,0.38
1503,6.33,3.93,28.96,-29.09,4.39,2.53,-0.01
1516,11.25,3.76,-31.17,-25.08,2.09,5.13,-0.38
1531,4.02,0.82,41.58,12.22,0.81,0.86,-0.01
1543,5.98,1.33,63.64,-15.36,1.23,1.23,-0.4
1544,4.9,1.73,31.48,-17.97,1.49,1.29,-0.03
1606,1.94,1.36,1.2,-15.03,1.5,1.18,-0.04
1610,2.54,2.07,-9.96,-4.65,1.81,1.57,0.23
1625,19.39,1.62,252.56,-84.34,1.95,1.49,0.19
1642,9.2,1.02,73.72,-21.95,0.77,0.83,0.04
1646,8.83,2.07,-29.75,10.39,1.9,1.52,0.69
1669,14.0,1.32,10.09,-64.8,1.34,0.87,-0.01
1670,5.22,1.22,-35.92,-27.47,1.13,0.66,0.53
1674,31.49,1.51,20.42,73.82,1.24,1.15,0.08
1693,5.41,2.4,42.17,-36.13,1.76,1.6,-0.21
1695,5.42,1.72,1.75,-23.86,1.94,1.15,0.31
1699,0.75,1.93,3.4,-6.45,2.07,1.26,0.33
1705,5.36,2.37,-26.03,-42.6,1.69,1.96,-0.16
1743,-0.37,1.25,-2.79,-1.82,1.15,1.04,-0.02
1747,6.37,2.22,47.38,18.3,1.9,3.19,-0.02
1778,3.96,2.05,-25.87,-19.33,1.98,1.18,0.14
1838,5.68,1.9,23.58,9.81,1.66,2.58,0.05
1847,-0.77,6.01,-25.59,-59.41,5.63,5.14,0.49
1872,1.49,3.16,6.66,-5.51,2.49,2.01,-0.31
1896,1.07,0.94,-4.89,-3.53,0.82,0.61,-0.4
1921,2.38,0.69,13.7,-4.4,0.41,0.42,-0.26
1987,23.69,1.08,274.31,11.16,0.76,0.87,-0.09
2002,11.27,1.96,39.72,-45.42,1.88,1.21,0.29
2018,5.11,1.41,24.24,-9.72,1.16,0.86,0.14
2035,8.14,1.33,65.56,48.76,1.35,0.98,0.6
2041,2.2,1.74,9.61,-4.61,1.75,1.27,0.14
2048,11.94,1.56,99.31,8.82,1.51,0.93,0.31
2060,0.69,1.93,-3.58,5.74,1.89,1.11,0.52
2074,4.45,0.91,-49.64,-45.66,0.79,0.64,-0.16
2090,-1.65,1.66,-3.69,-1.61,1.34,1.38,-0.06
2100,6.71,1.23,69.63,1.49,1.25,0.79,0.34
2115,9.53,1.19,44.48,-0.61,1.32,1.06,0.08
2143,18.36,2.75,-32.98,21.03,2.63,1.96,0.56
2147,5.76,1.59,33.85,-0.23,1.69,0.97,0.38
2170,1.61,1.24,-1.51,-10.03,1.21,0.95,0.22
2206,5.35,1.91,-8.58,-22.16,1.66,0.99,0.41
2207,10.58,2.15,93.22,31.69,2.02,1.71,0.27
2226,8.17,1.95,44.86,25.39,1.88,1.43,0.03
2228,6.83,1.07,-16.07,-8.8,0.96,0.95,-0.11
2232,9.04,3.06,72.15,2.05,3.84,2.12,0.25
2237,31.01,0.87,-118.11,-112.69,0.95,0.57,0.08
2252,6.23,2.29,5.06,-7.33,1.96,1.95,0.16
2271,1.5,0.95,-0.93,-3.36,0.56,0.8,-0.07
2278,1.53,1.54,-3.03,-22.81,1.9,1.25,0.38
2286,-2.13,3.75,6.83,-14.45,3.62,4.0,0.49
2287,-6.82,5.82,32.19,-34.11,5.91,3.69,0.25
2309,4.89,2.32,-34.74,1.95,2.4,1.61,0.61
2327,20.25,4.43,27.94,-16.39,4.39,2.35,0.38
2328,1.17,2.66,3.95,-3.8,2.3,1.93,-0.24
2346,2.82,2.33,66.33,-20.36,2.85,2.05,0.33
2362,0.33,1.8,-10.89,-18.09,2.05,1.17,0.29
2377,4.54,0.76,16.26,-3.94,0.66,0.53,-0.17
2414,20.91,1.05,6.0,-54.4,0.81,0.9,-0.12
2424,-1.2,4.22,20.84,-14.64,3.91,3.36,0.15
2429,8.1,2.16,25.48,-7.25,1.92,1.18,0.3
2433,8.28,1.33,34.04,-189.23,1.28,0.86,0.07
2437,4.2,1.24,9.98,12.82,1.03,1.02,-0.15
2444,11.69,1.57,-33.73,-38.99,1.83,0.97,0.1
2493,2.01,1.88,2.66,1.11,1.31,1.31,-0.28
2502,5.23,1.08,-36.87,-24.46,1.12,0.7,0.47
2505,9.2,1.06,40.78,-14.81,0.79,0.8,-0.31
2528,5.02,1.41,12.07,0.62,1.28,1.14,-0.13
2530,0.67,3.03,48.56,-4.65,3.01,2.27,0.07
2532,13.78,1.06,49.01,-26.84,1.16,0.81,0.18
2543,11.36,1.01,6.9,-27.33,0.8,0.61,-0.18
2549,4.84,1.03,7.57,-6.58,0.92,0.63,0.3
2556,19.65,1.47,105.6,69.69,1.2,1.46,-0.09
2576,4.47,0.93,-17.84,-22.49,0.74,0.57,-0.03
2587,3.83,1.26,-1.48,-9.64,1.06,0.83,0.28
2635,-0.72,2.4,19.52,-2.8,2.18,1.79,-0.21
2643,16.68,1.62,-15.01,12.71,2.53,2.68,-0.26
2694,6.5,0.87,45.95,-3.53,0.92,0.6,0.58
2707,5.77,0.61,23.84,-0.28,0.47,0.46,-0.1
2726,11.7,3.14,40.06,-31.86,5.16,2.61,-0.55
2732,7.49,1.81,11.13,-9.03,1.77,1.25,0.15
2758,-0.48,1.67,-4.99,1.14,1.34,1.33,-0.05
2762,47.51,1.15,407.68,-36.47,1.31,0.61,0.04
2769,5.61,1.87,-15.25,-15.9,2.17,1.19,0.05
2770,0.58,0.77,-2.98,-0.3,0.76,0.69,-0.28
2772,1.38,1.26,-5.4,-0.76,1.08,1.03,-0.35
2794,5.08,1.1,21.57,4.6,1.26,1.1,-0.09
2801,5.43,1.55,28.2,-5.26,1.55,1.05,0.12
2803,3.69,2.11,48.21,-28.84,1.91,1.66,0.02
2812,3.27,0.97,22.69,19.82,1.01,1.02,0.01
2814,0.64,0.97,-1.15,-4.09,0.82,0.71,-0.18
2826,1.92,1.22,4.87,-0.53,1.22,1.21,-0.07
2863,7.77,1.89,248.61,-32.61,2.0,1.33,-0.03
2872,-0.05,1.26,4.92,-4.92,1.29,0.87,0.44
2881,13.15,2.1,18.07,-2.29,1.57,1.97,0.02
2886,4.21,2.11,-31.43,-1.17,1.47,1.55,-0.32
2922,2.21,0.85,6.34,-13.42,0.67,0.54,-0.34
2935,0.36,1.38,3.15,-2.89,1.08,0.8,-0.14
2940,3.71,1.71,-16.83,-7.28,1.64,1.63,0.25
2941,64.38,1.4,1422.09,-17.15,2.84,1.23,-0.08
2959,1.96,2.13,-3.68,-7.14,2.47,1.56,-0.14
2970,4.73,2.54,6.91,13.94,2.62,1.62,0.34
3003,12.52,2.48,38.79,-11.61,2.89,2.41,0.37
3049,7.5,1.38,100.22,-36.93,1.99,1.12,0.01
3118,8.2,1.48,10.98,-21.28,1.71,1.44,0.41
3149,7.33,1.21,-11.64,-4.46,0.95,0.84,0.12
3159,4.08,1.82,17.53,-3.72,1.44,1.11,0.24
3176,5.09,1.41,-14.21,-3.22,1.39,0.9,0.3
3218,3.76,1.26,-3.62,-5.65,0.84,0.97,0.13
3226,1.74,2.45,16.86,3.26,2.26,1.96,0.33
3315,7.05,4.02,5.7,5.55,3.78,3.08,0.07
3319,4.18,2.2,-23.1,-31.41,2.01,1.41,0.45
3326,16.16,1.19,30.6,-42.02,0.92,0.69,0.4
3351,6.41,0.72,42.0,-4.0,0.72,0.92,-0.18
3356,7.55,1.22,2.49,-6.25,1.02,1.0,0.2
3361,14.62,2.4,193.17,-76.89,2.44,1.87,0.68
3370,2.08,1.4,3.24,-6.47,0.97,1.11,0.0
3373,7.34,1.88,19.1,18.67,1.7,1.59,0.38
3374,4.12,3.15,-54.28,3.04,2.68,1.59,-0.01
3385,8.41,1.08,65.98,1.04,0.99,0.68,0.54
3393,0.66,2.0,13.29,-3.13,1.75,1.16,0.52
3398,5.83,2.33,10.32,-43.58,2.23,1.79,0.17
3425,6.37,2.29,65.25,-35.89,1.82,1.58,-0.47
3454,8.22,1.74,68.32,-25.59,1.54,0.99,-0.06
3460,1.82,8.55,-5.87,-39.87,7.48,5.5,0.48
3473,4.59,1.41,15.15,-4.87,1.5,1.08,0.51
3485,10.07,1.85,-34.46,-55.55,1.52,1.42,0.14
3489,11.89,0.67,103.16,6.29,0.54,0.61,0.12
3493,29.58,2.21,270.75,183.36,2.37,1.69,0.4
3513,3.13,2.19,26.69,-12.22,1.79,1.85,-0.49
3558,5.87,1.9,-8.39,-21.27,1.34,1.3,0.01
3576,11.38,1.1,12.04,-6.07,1.41,0.76,0.37
3592,7.7,1.05,0.28,13.61,1.32,0.82,0.36
3606,9.22,1.22,-18.03,15.99,1.43,0.94,0.05
3612,7.07,1.19,37.07,4.75,1.04,0.68,0.34
3648,4.19,1.95,-12.66,10.61,1.95,1.22,0.36
3669,15.71,2.2,-1.64,-296.68,1.63,1.53,-0.05
3673,7.92,1.9,7.23,-35.48,1.8,1.03,-0.01
3674,11.15,2.84,58.29,-40.68,3.27,1.97,0.4
3677,5.65,1.75,1.23,19.14,1.15,1.3,0.01
3716,13.96,1.38,-153.59,-153.7,1.52,1.38,0.15
3736,3.12,1.4,-4.48,-11.75,0.87,0.83,-0.2
3754,6.59,1.91,83.4,-14.23,1.34,1.37,0.02
3795,16.28,1.21,-14.23,-48.5,2.09,1.33,0.28
3804,7.46,1.15,-15.45,25.14,1.04,0.95,0.05
3848,2.21,2.14,7.26,12.42,1.92,1.26,0.55
3851,5.87,1.7,29.77,-14.46,2.07,1.73,-0.13
3853,2.66,1.88,-7.83,-0.58,1.5,1.15,-0.11
3857,14.85,1.32,-69.67,-68.55,0.9,0.72,0.1
3880,9.63,2.94,16.23,1.97,2.34,2.43,-0.2
3899,4.76,1.07,9.44,10.54,1.14,1.1,0.13
3937,83.2,9.08,198.46,-41.74,9.58,4.98,0.24
3957,6.82,1.58,20.23,-64.18,1.44,0.9,0.48
3982,4.43,2.13,83.63,-27.07,2.16,1.52,0.55
4019,5.4,4.0,1.0,43.7,7.08,3.3,0.05
4030,2.43,1.0,11.01,2.43,1.05,0.76,0.3
4032,2.47,2.66,5.53,-3.0,2.56,2.02,0.25
4035,7.19,3.07,-18.18,-19.34,3.45,3.85,0.25
4038,3.39,1.14,-5.53,-4.95,0.81,0.72,-0.21
4049,11.66,1.54,30.29,3.36,0.99,1.13,0.13
4065,9.61,1.9,42.91,-25.86,1.74,1.09,0.53
4066,14.69,3.6,84.84,-88.07,4.95,2.41,0.15
4072,18.48,1.47,-110.92,-204.39,1.25,0.93,0.19
4102,2.23,1.19,-1.79,0.21,0.97,0.65,0.03
4176,8.31,1.2,-40.23,-30.52,1.14,0.9,0.6
4177,4.39,1.24,16.3,-1.96,0.96,0.9,-0.52
4186,5.11,2.22,20.67,-14.2,2.0,1.3,0.5
4237,8.49,0.82,28.25,-8.22,0.61,0.55,-0.34
4253,14.65,4.0,64.41,-53.81,2.65,1.86,-0.1
4267,8.88,1.01,11.05,-7.69,0.96,0.65,0.17
4285,0.17,1.71,11.66,-7.05,1.41,1.04,-0.12
4288,25.69,1.29,137.06,-45.58,1.39,1.17,0.53
4299,6.31,1.69,23.46,-1.07,2.2,1.2,0.55
4306,4.14,1.24,33.6,-23.08,0.97,0.78,-0.12
4327,5.97,1.97,26.77,3.48,2.5,1.15,0.17
4356,1.28,4.29,0.99,-48.18,4.41,2.55,0.34
4368,5.48,3.15,10.24,-3.44,3.22,2.72,0.35
4386,2.29,1.62,-4.21,-3.26,1.44,0.97,-0.2
4431,1.61,1.59,-8.42,-7.63,1.8,1.31,0.54
4440,5.31,0.61,27.37,-4.77,0.45,0.49,-0.54
4441,5.71,1.49,9.08,4.01,1.33,1.34,0.0
4448,22.95,2.16,97.9,11.31,2.08,1.71,-0.06
4483,5.24,3.28,86.27,-34.06,2.7,2.17,0.05
4493,11.16,1.47,-42.59,-65.76,0.78,0.99,0.11
4512,3.81,0.97,-11.62,-10.21,0.86,0.93,0.16
4536,14.75,1.1,80.27,41.36,1.0,0.97,0.09
4558,7.62,1.03,-9.65,-3.49,1.14,0.64,0.14
4580,5.78,1.2,22.32,-12.43,0.91,1.18,-0.34
4581,5.63,1.38,-8.97,-5.62,1.15,0.81,-0.13
4619,12.6,1.19,27.38,-34.58,1.26,1.04,0.69
4626,2.18,1.45,-4.67,-1.55,1.19,0.82,0.21
4641,10.55,2.18,79.79,79.84,2.21,1.67,0.45
4667,6.46,2.41,-31.97,17.91,2.5,2.0,0.2
4678,4.32,1.12,0.31,-31.44,1.04,1.09,-0.02
4684,7.15,0.74,-9.47,11.82,0.67,0.69,0.12
4705,6.94,1.26,75.13,0.98,1.24,0.67,-0.11
4724,7.68,0.86,11.82,7.63,0.66,0.84,0.14
4728,2.65,2.09,7.17,-1.63,2.38,1.28,0.33
4755,5.65,1.7,23.41,-21.54,1.3,1.18,-0.34
4764,16.47,2.47,129.31,25.2,1.74,1.92,-0.12
4775,13.85,1.51,9.5,9.08,1.69,1.5,0.42
4781,6.93,1.71,55.05,-12.38,1.51,1.25,-0.3
4783,5.93,1.14,21.99,-26.89,1.32,0.65,0.03
4789,2.8,1.06,-7.42,-2.71,0.92,1.2,-0.15
4809,13.94,0.9,135.88,-12.68,0.88,0.57,0.53
4823,4.39,1.91,-17.68,-3.05,2.32,1.32,0.2
4841,6.68,1.25,98.72,-5.17,1.52,0.86,0.53
4849,46.61,1.61,340.03,221.12,1.69,1.08,0.58
4870,6.49,1.73,21.04,15.41,1.6,1.87,-0.06
4902,0.89,1.3,10.89,-5.46,0.89,0.72,-0.25
4911,9.68,1.01,86.92,-15.47,0.76,0.61,0.12
4927,61.23,5.26,671.78,44.46,4.8,2.94,0.34
4959,3.54,1.3,4.08,8.86,0.95,0.88,-0.11
4962,2.16,0.87,-1.54,-2.96,0.68,0.62,-0.3
4963,9.72,1.32,-21.36,-13.76,1.04,1.3,-0.24
4971,3.08,2.82,6.51,-9.1,2.34,2.21,-0.12
4974,11.36,5.31,35.14,-33.59,7.21,3.62,0.32
4976,8.7,2.87,177.84,-33.68,2.41,1.58,-0.24
4978,6.93,1.14,12.03,-13.38,1.25,0.88,0.47
4985,5.43,1.12,-0.34,4.41,0.59,0.7,-0.02
4990,2.67,1.03,5.93,-2.48,1.18,0.59,-0.11
5007,4.64,2.05,-10.96,-12.12,2.15,1.32,0.56
5064,6.49,1.5,-14.47,-15.33,1.59,1.1,0.39
5093,2.87,1.95,4.04,-6.98,1.89,1.29,0.32
5115,11.63,3.08,-5.58,-35.95,2.71,1.68,0.33
5126,2.79,1.5,-0.18,-14.57,1.32,1.39,-0.05
5154,5.59,1.21,5.68,-12.97,1.45,0.88,0.41
5181,2.25,1.3,25.77,-3.04,1.26,0.95,0.58
5194,1.78,5.84,-51.8,-7.21,7.53,5.36,0.19
5195,5.22,0.88,33.23,1.03,0.88,1.02,-0.25
5220,9.29,2.02,12.25,-30.96,2.37,1.71,0.69
5232,4.65,0.68,1.99,-13.94,0.45,0.45,-0.45
5245,18.53,2.04,-34.11,-29.03,2.03,1.45,0.55
5249,8.67,0.84,32.57,-13.43,0.74,0.5,0.23
5262,5.92,0.87,20.87,-8.91,0.71,0.54,-0.2
5264,9.75,1.52,82.92,-25.02,1.3,1.33,-0.07
5295,12.39,1.45,268.49,-26.16,1.55,1.17,0.44
5297,3.42,1.7,-15.65,-34.1,1.9,1.1,0.59
5300,16.48,0.61,36.0,7.85,0.48,0.65,-0.36
5334,2.7,1.95,28.11,-3.35,1.62,1.34,0.0
5340,0.93,1.47,9.71,-1.52,1.3,1.38,-0.25
5363,11.5,1.09,18.54,23.5,1.02,0.86,-0.24
5378,2.79,1.4,6.58,-6.87,1.53,1.13,-0.04
5379,4.06,1.17,22.41,-13.19,1.13,0.71,0.51
5383,12.24,1.76,27.32,-37.83,1.96,0.96,-0.12
5385,4.07,1.61,-4.1,-11.08,1.51,1.01,0.18
5399,6.91,1.58,51.26,-2.25,1.53,1.09,-0.15
5427,3.63,1.67,-11.88,-5.84,1.74,0.85,0.41
5428,10.32,0.82,135.66,-20.19,0.7,0.82,-0.22
5434,4.43,0.8,3.81,-13.02,0.57,0.57,-0.03
5437,4.95,1.61,13.2,9.3,1.03,1.33,-0.25
5444,7.68,1.8,7.61,-21.62,2.56,0.99,0.35
5467,2.79,2.37,-9.63,-11.77,2.37,1.96,0.51
5475,4.46,1.12,-0.35,-24.63,1.14,1.07,0.48
5512,9.47,1.89,6.12,18.04,0.99,1.33,-0.03
5514,10.91,0.87,92.45,18.17,0.67,0.67,0.02
5531,17.41,0.67,250.3,23.58,0.53,0.67,-0.24
5546,2.35,2.69,56.79,16.72,2.76,1.76,0.3
5553,7.57,1.51,40.98,-29.26,1.2,0.84,-0.13
5569,3.87,3.01,-4.19,-0.61,2.16,1.74,-0.25
5593,7.54,1.83,90.5,33.86,2.19,1.6,0.3
5604,6.93,3.12,17.71,-14.27,2.0,2.24,-0.04
5633,4.33,2.16,63.77,47.26,2.1,1.82,0.14
5656,5.93,2.03,56.35,-4.72,2.0,1.5,0.06
5659,3.99,1.31,-12.5,-16.36,1.2,1.09,-0.42
5674,12.94,1.28,31.04,-66.08,0.77,0.88,-0.06
5688,5.0,0.82,29.16,-6.35,0.56,0.61,-0.25
5712,11.31,1.87,147.3,9.79,1.75,1.74,-0.04
5736,4.34,1.65,41.03,2.37,1.56,1.52,0.14
5783,3.93,1.46,20.36,7.28,1.34,1.14,0.59
5829,11.38,1.66,60.4,-44.11,1.16,1.26,-0.36
5842,47.36,1.25,416.56,75.95,1.3,1.32,-0.36
5844,5.54,1.17,-12.55,10.8,1.17,1.08,-0.01
5852,9.14,1.88,-147.17,-63.48,2.41,1.82,0.34
5877,-0.64,5.15,6.77,-4.98,4.45,2.58,0.07
5890,2.53,1.41,9.62,-2.75,1.0,1.03,-0.25
5892,9.73,1.5,-23.72,-42.68,1.68,1.09,0.31
5898,17.75,1.11,-75.14,30.41,1.39,0.8,0.36
5917,2.5,1.6,-17.75,-25.35,1.24,1.34,-0.17
5926,0.22,0.59,-1.59,-1.18,0.49,0.54,-0.26
5929,4.62,1.38,46.41,-7.75,1.43,1.0,-0.26
5952,16.08,1.3,282.14,19.71,1.33,0.85,0.36
5992,9.69,0.59,53.04,15.04,0.51,0.64,0.0
6009,6.28,2.48,13.53,28.06,2.0,1.66,0.05
6013,0.74,1.26,1.11,-8.3,1.17,1.11,0.57
6058,5.81,1.44,14.88,-9.97,1.28,1.14,-0.26
6062,2.61,2.61,-11.3,-0.15,2.94,1.79,0.13
6066,13.04,2.32,-121.36,-42.72,1.46,1.61,-0.07
6105,6.22,1.49,-5.26,9.74,1.13,1.13,-0.43
6114,4.04,0.8,12.55,-10.51,0.87,0.78,-0.38
6127,3.16,1.32,-1.7,-13.19,1.1,0.91,-0.06
6136,16.36,2.34,229.74,201.82,2.01,1.42,0.4
6142,6.3,1.59,-10.25,-5.72,1.57,0.96,0.44
6156,3.48,2.3,1.29,-0.68,2.13,1.88,-0.27
6167,6.46,0.83,45.56,2.31,0.74,0.8,-0.13
6182,10.36,1.6,32.24,46.47,2.03,1.01,0.01
6185,3.08,1.9,-4.65,-1.45,2.01,1.29,-0.22
6211,8.68,1.17,65.98,38.27,1.18,0.91,0.6
6216,8.57,1.08,26.38,-4.26,1.21,0.73,0.58
6217,7.46,1.46,117.77,29.67,1.39,1.14,0.58
6226,8.27,1.28,5.35,-13.91,1.11,0.96,0.67
6234,19.67,1.58,61.23,-95.9,1.42,0.73,0.11
6247,5.63,1.56,16.97,-7.53,1.46,1.42,-0.15
6267,5.17,0.92,28.5,-3.92,1.06,0.64,0.35
6287,1.63,1.3,5.9,-4.42,1.0,1.12,-0.08
6297,5.53,1.51,10.18,-8.05,1.92,1.0,0.29
6334,6.16,1.41,60.89,0.11,1.4,0.86,0.4
6346,6.1,2.29,46.8,-12.14,2.22,1.15,0.24
6362,6.19,1.94,-7.47,-8.1,1.55,1.11,0.07
6367,8.97,2.75,72.26,25.19,2.88,1.47,0.33
6377,12.38,1.08,-6.02,3.75,1.01,0.95,0.01
6381,3.47,1.29,-1.08,-1.74,1.27,0.83,-0.28
6461,3.87,0.91,27.02,36.8,0.9,0.83,0.17
6521,5.27,1.13,28.66,-19.31,1.24,1.0,0.48
6544,2.49,3.71,-18.9,-42.46,3.73,1.95,0.43
6564,22.33,0.95,31.05,5.12,2.07,0.95,0.4
6568,7.96,0.94,16.3,-18.47,1.03,0.63,0.05
6581,4.94,1.14,19.15,4.03,1.12,0.85,0.22
6586,9.77,10.14,-56.19,87.4,17.21,17.18,0.43
6589,9.76,0.94,29.88,-20.19,0.92,0.6,0.44
6626,37.93,1.59,232.65,147.85,1.29,0.98,0.1
6633,6.26,1.11,-9.37,-22.17,1.04,0.83,0.14
6661,2.4,0.82,-4.97,-1.28,0.7,0.8,-0.21
6693,25.95,1.28,-20.26,-125.35,0.91,1.01,0.05
6694,17.01,6.34,18.99,-53.53,7.85,2.63,-0.14
6703,15.15,1.24,118.07,-68.0,1.08,1.21,-0.03
6704,8.59,2.6,59.38,31.0,2.09,2.8,-0.07
6722,3.97,2.2,-3.15,-8.27,2.57,1.54,0.69
6789,8.43,1.03,-1.66,-84.29,1.01,0.72,0.37
6814,3.6,1.09,-14.64,-9.58,1.28,0.76,0.05
6815,14.04,1.14,-18.16,-137.25,1.31,0.99,0.43
6822,9.15,0.97,179.15,15.79,0.9,0.51,0.52
6839,3.33,1.69,5.7,-8.69,1.5,1.1,-0.38
6844,0.8,1.58,-2.12,-0.34,1.18,1.1,-0.49
6850,6.81,1.18,26.11,-14.97,1.37,0.99,-0.41
6864,3.05,1.62,-12.16,-12.94,1.62,1.42,0.13
6870,3.53,4.6,11.98,-33.39,4.12,3.89,0.45
6882,3.77,1.84,6.64,-1.71,1.6,1.42,0.01
6885,2.18,5.39,141.4,-3.57,5.2,3.11,0.4
6892,8.02,2.04,39.96,-19.89,2.16,1.35,0.45
6919,2.37,1.06,18.43,1.37,1.13,0.81,0.61
6922,4.27,2.38,-18.55,-38.39,2.27,1.55,0.35
6962,2.17,1.79,23.96,10.69,1.78,1.84,-0.23
7038,4.09,1.44,-6.92,-4.67,1.44,1.0,0.31
