HIP,Plx,e_Plx,pmRA,pmDE,e_pmRA,e_pmDE,pmDE:pmRA
94827,1.7,0.63,1.49,-3.69,0.58,0.54,0.07
94835,4.88,0.6,-1.58,21.11,0.66,0.69,0.06
94847,5.97,0.97,2.64,-27.85,0.74,0.77,0.28
94853,4.68,2.66,5.27,-20.71,2.85,1.77,-0.12
94856,8.34,5.83,-17.5,-47.96,5.64,4.01,0.22
94866,3.82,2.11,-7.36,-34.78,2.27,1.59,0.1
94888,4.45,0.94,-2.02,0.75,1.08,1.09,0.26
94892,1.85,3.27,6.44,-19.0,3.66,3.26,0.1
94911,5.02,1.23,2.02,10.64,1.32,0.99,0.32
94914,4.36,1.82,-0.41,-12.15,1.74,1.14,0.29
94915,3.65,0.67,-9.62,4.48,0.83,0.79,0.31
94924,8.15,1.07,-6.53,-4.54,1.03,1.03,0.02
94926,19.17,1.32,-32.17,-112.65,2.83,1.77,-0.07
94938,15.06,2.24,125.91,-1.0,2.77,1.34,-0.26
94960,16.38,6.03,156.88,98.35,5.25,3.75,-0.02
94973,2.77,0.69,-0.72,-15.29,0.61,0.65,0.05
94980,14.03,4.31,81.59,-122.64,5.52,3.16,-0.08
94985,8.49,4.5,-20.92,-29.43,4.55,3.32,0.56
94995,6.34,2.06,7.08,-98.25,2.64,1.53,0.04
95065,13.22,3.28,-185.31,-109.08,3.95,1.86,0.28
95068,1.34,1.04,2.02,-0.45,0.97,0.68,0.23
95072,0.8,1.57,15.94,-9.39,2.37,1.05,-0.14
95079,5.93,1.93,16.91,6.41,2.12,1.38,-0.09
95123,2.12,2.28,5.39,-17.51,2.65,2.13,0.07
95140,-0.99,2.55,-1.29,-3.21,1.82,2.23,0.25
95146,1.45,0.92,1.11,-3.28,0.83,0.99,-0.07
95156,4.82,0.59,18.13,23.63,0.55,0.71,0.24
95197,2.58,1.19,0.21,-5.1,1.07,0.93,0.16
95200,2.84,0.67,5.16,13.97,0.8,0.63,0.08
95214,1.85,1.68,-0.21,-4.29,1.37,1.27,0.17
95267,0.64,1.37,2.11,-3.55,1.24,0.85,0.14
95355,3.84,1.84,1.29,-7.42,1.28,1.8,-0.37
95356,5.37,2.86,-6.31,3.27,2.67,1.71,0.16
95360,12.0,1.19,76.0,-146.08,1.31,0.83,0.08
95368,3.05,0.8,4.42,0.3,0.79,0.86,-0.11
95389,9.9,1.47,2.58,-2.15,1.04,1.2,0.27
95393,2.19,1.68,0.92,-0.65,1.38,1.5,-0.08
95418,0.25,1.72,0.72,-3.68,1.83,1.2,-0.18
95421,7.93,2.35,10.78,6.6,2.61,1.72,0.27
95424,6.8,1.87,17.15,-6.93,1.82,1.17,0.31
95425,4.41,1.07,-1.77,-14.91,0.98,0.74,-0.07
95441,14.36,2.22,9.49,10.08,2.54,1.69,0.12
95442,1.91,1.81,3.33,-9.47,1.83,1.16,0.32
95452,-1.51,1.44,0.2,-1.8,1.22,1.2,-0.06
95455,4.24,2.91,24.52,6.2,2.35,2.45,0.41
95462,2.62,1.41,0.66,-7.0,1.2,1.37,0.23
95470,10.6,2.35,29.98,92.06,2.25,1.48,-0.03
95478,4.34,2.35,4.85,-8.13,2.79,1.96,-0.6
95537,1.84,0.65,3.99,-0.11,0.55,0.7,0.0
95542,3.18,1.39,8.97,-7.82,1.18,0.99,-0.1
95549,4.23,1.21,22.86,-14.47,0.99,1.32,0.06
95574,7.82,0.75,42.91,-7.85,0.7,0.43,0.05
95589,13.96,1.78,102.26,87.57,1.13,1.38,-0.11
95590,9.81,1.28,7.46,-14.85,0.91,1.18,-0.02
95594,1.61,1.75,6.29,-1.68,1.07,1.86,-0.27
95615,2.95,3.11,12.6,-9.77,3.67,2.04,-0.07
95617,3.58,2.08,16.94,5.77,1.41,1.6,0.27
95620,2.67,1.26,5.13,-12.01,0.95,0.87,0.29
95625,6.59,1.48,12.15,41.56,1.67,1.27,0.04
95634,5.23,1.8,-0.47,-9.91,1.56,1.44,0.04
95662,14.25,2.89,-25.08,-66.86,3.48,1.97,0.16
95675,0.57,1.05,2.13,-9.91,0.82,0.78,0.17
95695,5.98,3.08,3.58,-9.72,3.12,2.32,0.31
95722,26.29,2.19,68.9,-87.46,2.95,1.82,-0.08
95730,36.33,2.45,-52.85,-39.76,1.9,1.57,0.13
95759,4.0,1.2,3.85,-20.72,1.01,1.14,0.1
95777,0.1,0.7,5.27,-1.91,0.8,0.7,0.03
95787,2.6,1.2,5.35,-11.06,0.97,0.92,0.06
95845,3.62,1.19,-4.02,-9.6,0.9,0.78,0.05
95847,15.08,1.1,98.08,-37.48,1.17,0.73,0.21
95869,0.8,1.02,8.89,8.87,1.1,1.0,0.1
95901,3.92,0.51,-7.23,-16.05,0.57,0.53,-0.04
95925,13.39,1.56,-47.46,-42.45,1.76,1.35,0.22
95947,8.46,0.58,-7.09,-5.63,0.52,0.66,-0.27
95955,4.86,0.85,19.97,0.0,1.04,1.01,0.19
95968,2.6,1.17,2.65,-14.74,1.26,1.24,0.36
95983,12.6,1.75,-5.89,-43.05,2.13,1.45,0.02
95993,1.97,0.73,-4.14,-2.82,0.81,0.75,-0.23
95995,59.84,0.64,-510.04,-397.54,0.68,0.68,0.22
96007,0.77,1.43,-0.99,-2.06,1.67,0.82,-0.13
96011,3.98,0.79,-13.27,-37.68,0.91,1.01,0.16
96034,1.25,0.96,0.91,-4.33,0.59,0.95,-0.1
96037,21.01,1.43,4.8,-116.17,1.01,1.05,0.14
96090,2.69,1.31,19.42,-35.75,1.13,1.04,0.36
96092,2.21,1.17,9.54,-0.65,1.16,0.72,-0.29
96120,6.65,1.27,29.33,19.51,1.2,1.1,0.08
96134,3.09,1.94,1.92,-10.93,2.05,1.25,0.33
96137,4.03,0.77,-0.04,-7.27,0.8,0.82,0.08
96138,8.19,2.48,71.49,-156.81,3.27,2.68,0.27
96162,3.16,1.04,1.57,-3.73,0.89,1.24,-0.21
96180,6.1,1.16,32.17,-5.53,1.22,1.28,0.26
96195,7.76,0.57,6.93,23.38,0.51,0.54,0.14
96238,3.49,1.14,-0.19,-16.78,0.98,0.56,0.11
96257,8.08,2.38,-22.03,-17.96,2.27,1.37,0.36
96264,15.19,0.67,-109.73,-71.64,0.74,0.64,0.0
96280,4.58,1.44,21.45,20.94,1.04,1.1,0.33
96287,16.46,1.92,43.1,-56.35,1.46,2.04,-0.17
96315,3.12,2.23,1.32,1.42,1.54,2.37,-0.4
96317,5.03,1.3,10.38,-1.6,1.04,1.34,0.28
96321,9.89,0.93,3.06,90.47,1.16,1.05,0.21
96328,8.23,0.79,7.15,-9.92,0.63,0.64,0.14
96333,10.09,2.35,-78.48,-308.65,3.03,1.56,-0.23
96336,4.64,2.02,20.52,-13.24,3.23,2.1,0.01
96360,4.35,1.23,3.16,-6.47,1.04,1.21,0.31
96371,5.9,0.85,-11.1,-25.49,0.77,0.8,0.19
96380,5.5,1.82,-0.66,1.45,1.39,2.36,0.41
96398,4.2,1.69,8.66,-3.82,2.04,1.5,0.23
96407,2.19,2.22,4.0,-1.52,2.41,1.84,0.33
96443,1.01,1.55,-1.09,-7.0,1.35,1.32,-0.32
96448,2.71,0.99,-0.06,-15.03,0.88,0.95,-0.02
96541,3.31,1.84,1.08,-4.11,2.0,1.0,0.17
96545,7.15,1.13,12.58,-31.54,1.73,1.25,-0.29
96563,4.85,1.06,-13.49,-24.01,0.93,0.93,0.14
96567,1.41,1.13,0.33,-1.09,1.23,0.59,-0.2
96571,5.89,1.79,10.41,-9.22,1.38,1.24,0.03
96573,2.89,1.73,14.42,3.05,1.46,1.87,-0.02
96591,2.06,1.88,-4.9,14.14,2.21,1.77,0.16
96603,9.96,1.21,23.2,16.76,1.47,0.65,0.03
96606,7.03,2.42,-11.7,-10.33,2.85,1.97,-0.1
96623,6.52,1.13,16.7,3.53,0.97,0.92,-0.06
96636,5.26,1.2,-13.15,-38.54,1.22,1.06,0.11
96641,2.6,4.53,-18.64,-1.39,9.27,6.12,-0.24
96656,33.28,0.69,158.23,141.39,1.21,2.03,0.06
96672,4.44,0.88,11.45,40.02,0.94,0.78,0.01
96681,1.49,1.76,5.42,-13.63,1.24,1.77,-0.3
96691,6.64,1.65,4.07,16.93,1.47,1.43,0.32
96719,4.78,1.46,-14.22,-47.81,2.15,1.46,-0.07
96724,6.88,0.6,-3.62,12.23,0.48,0.58,0.09
96729,8.03,0.99,7.98,-37.17,0.8,0.67,0.3
96747,2.56,0.94,-1.23,-6.38,1.14,1.18,0.12
96750,1.01,2.37,1.19,-12.09,2.37,2.05,0.39
96790,2.22,5.33,11.97,-37.27,10.23,10.3,-0.01
96796,8.28,1.2,27.45,110.38,2.11,1.39,0.23
96840,1.98,0.82,0.0,-10.95,0.82,0.53,-0.14
96855,2.04,0.89,-1.17,-12.88,1.03,0.87,0.07
96858,1.26,1.02,0.15,-1.17,0.81,0.82,0.1
96903,0.82,0.92,1.68,-3.46,0.56,0.91,-0.47
96939,0.07,1.02,-1.88,-6.69,0.93,0.71,-0.5
96955,24.12,1.43,168.29,-168.28,1.15,1.22,0.47
96957,4.34,0.86,3.43,-10.49,0.79,0.51,-0.02
97001,4.83,0.73,5.45,0.19,0.63,0.82,0.21
97022,16.71,1.35,16.77,-56.55,1.41,0.77,0.29
97034,4.94,0.99,-0.37,-10.3,0.88,0.96,-0.14
97062,4.68,1.68,2.64,13.58,2.03,1.4,-0.11
97065,2.12,2.44,6.43,3.61,2.66,1.43,0.57
97083,1.06,1.02,0.45,-1.26,0.9,1.15,-0.08
97091,0.75,0.89,0.73,-3.35,0.54,0.81,-0.28
97133,3.58,1.44,22.7,-8.63,1.76,1.14,0.21
97149,2.24,1.73,3.46,1.33,1.18,1.06,0.4
97165,19.07,0.45,43.22,48.44,0.45,0.45,0.02
97194,9.65,3.37,112.41,-172.18,4.55,3.06,-0.19
97222,49.09,1.43,13.3,-440.57,1.07,1.35,-0.09
97240,0.96,0.91,1.84,0.63,0.8,0.91,0.0
97256,-0.35,1.39,0.23,-9.17,1.37,0.67,0.37
97273,4.92,1.76,2.61,-24.9,1.76,1.1,0.54
97294,9.38,1.45,30.49,-3.9,1.59,1.02,0.34
97308,4.25,1.22,-6.99,-5.44,1.19,1.01,0.2
97315,3.11,0.92,8.67,12.4,0.85,0.94,0.03
97339,3.74,0.97,3.26,-4.28,0.73,0.57,-0.15
97348,10.81,1.57,-45.36,-27.63,1.38,0.99,0.46
97350,6.25,1.36,-0.63,-24.06,1.41,0.79,0.52
97352,9.31,1.43,-7.97,-54.11,1.61,1.2,0.2
97365,7.28,0.83,-4.58,11.1,0.62,0.52,-0.05
97367,8.16,1.36,-0.89,-19.38,1.41,1.06,-0.17
97383,9.78,3.19,91.44,-5.2,3.74,2.92,0.69
97417,4.52,0.95,2.68,-3.19,0.97,0.73,0.64
97440,0.19,1.41,-5.14,-6.72,1.13,1.64,0.14
97445,5.16,0.87,5.03,12.79,0.9,0.87,0.12
97469,6.52,1.05,41.36,10.92,0.93,0.55,-0.09
97473,5.72,1.1,15.95,-9.79,1.24,1.27,0.67
97476,-0.36,1.32,-2.07,-7.06,1.03,0.77,-0.25
97477,14.99,1.04,70.01,65.25,0.8,1.07,0.04
97530,6.62,3.2,-27.25,-500.0,2.33,2.13,-0.37
97547,1.69,1.04,-2.75,0.84,0.88,1.08,0.11
97548,16.1,2.06,-12.93,-3.59,2.2,1.98,0.47
97564,15.7,1.73,1.2,105.78,1.53,1.42,-0.32
97565,3.78,2.2,2.54,-4.46,2.35,2.11,0.52
97592,6.12,1.27,18.97,10.01,1.3,1.07,0.38
97642,10.04,3.15,-0.3,-53.6,3.12,2.57,0.36
97646,12.55,0.71,23.09,-12.21,0.55,0.59,0.6
97661,9.45,1.44,29.84,-107.7,1.28,1.06,-0.38
97706,13.13,0.88,51.45,23.76,0.71,0.94,-0.14
97728,3.09,1.09,4.03,8.8,1.08,0.98,0.1
