CCDM,Qual,Ncomp,comp_id,HIP,Hp,theta,rho,recno
02434-6643,A,2,A,12717,6.94,,,2556
02434-6643,A,2,B,12717,7.311,213.4,0.333,2557
02435+6839,D,2,A,12722,9.148,,,2558
02435+6839,D,2,B,12722,12.721,138.0,2.95,2559
02438+1606,A,2,A,12742,8.815,,,2560
02438+1606,A,2,B,12742,11.317,339.0,1.0,2561
02438-2754,A,2,A,12739,7.897,,,2562
02438-2754,A,2,B,12739,9.449,100.9,3.122,2563
02439+2538,B,2,A,12744,6.436,,,2564
02439+2538,B,2,B,12744,10.363,18.0,2.99,2565
02439-3104,A,2,A,12752,9.862,,,2566
02439-3104,A,2,B,12752,11.121,38.3,2.02,2567
02442-2530,A,2,A,12780,7.094,,,2568
02442-2530,A,2,B,12779,9.331,191.7,12.36,2569
02446+2928,A,2,A,12808,7.836,,,2570
02446+2928,A,2,B,12808,8.179,313.4,3.158,2571
02447-0158,A,2,A,12812,9.002,,,2572
02447-0158,A,2,B,12812,9.973,180.8,5.763,2573
02450+1414,A,2,A,12838,7.995,,,2574
02450+1414,A,2,B,12838,10.648,116.0,0.87,2575
02454+5634,B,2,A,12866,8.627,,,2576
02454+5634,B,2,B,12865,8.93,278.31,15.81,2577
02456-4114,A,2,A,12885,8.713,,,2578
02456-4114,A,2,B,12885,9.828,32.3,2.16,2579
02456-7114,A,2,A,12884,6.793,,,2580
02456-7114,A,2,B,12884,10.558,132.0,0.51,2581
02459-6722,A,2,A,12902,9.786,,,2582
02459-6722,A,2,B,12902,9.88,27.0,0.16,2583
02460+4037,B,2,A,12911,7.868,,,2584
02460+4037,B,2,B,12911,10.305,241.0,0.23,2585
02460-0457,A,2,A,12912,7.803,,,2586
02460-0457,A,2,B,12912,9.667,29.0,0.77,2587
02464+5310,A,2,A,12936,8.337,,,2588
02464+5310,A,2,B,12936,11.276,27.7,2.87,2589
02464-3655,A,2,A,12940,8.783,,,2590
02464-3655,A,2,B,12940,11.179,20.0,1.36,2591
02469+5744,C,2,A,12972,7.778,,,2592
02469+5744,C,2,B,12972,10.74,155.0,0.18,2593
02469-6009,A,2,A,12973,9.284,,,2594
02469-6009,A,2,B,12973,9.603,252.6,0.505,2595
02470+0745,B,2,A,12986,12.115,,,2596
02470+0745,B,2,B,12986,13.443,309.0,0.26,2597
02470+5007,A,2,A,12984,8.908,,,2598
02470+5007,A,2,B,12984,9.054,149.4,2.713,2599
02470-1358,A,2,A,12983,10.001,,,2600
02470-1358,A,2,B,12983,11.676,187.6,3.55,2601
02471+3533,A,2,A,12990,6.46,,,2602
02471+3533,A,2,B,12990,8.894,198.0,1.22,2603
02472+3634,A,2,A,13009,8.565,,,2604
02472+3634,A,2,B,13009,10.884,41.0,0.69,2605
02472-1523,A,2,A,13002,8.321,,,2606
02472-1523,A,2,B,13002,10.519,351.0,1.47,2607
02475+1923,A,2,A,13027,7.484,,,2608
02475+1923,A,2,B,13027,8.276,309.2,3.64,2609
02476+1014,D,2,A,13043,9.178,,,2610
02476+1014,D,2,B,13042,10.592,308.9,23.91,2611
02476+5357,A,2,A,13049,7.835,,,2612
02476+5357,A,2,B,13049,8.698,16.92,8.227,2613
02476-1819,A,2,A,13048,9.578,,,2614
02476-1819,A,2,B,13048,12.5,26.0,2.9,2615
02477+0142,A,2,A,13050,8.224,,,2616
02477+0142,A,2,B,13050,9.618,276.0,0.34,2617
02478+3103,A,2,A,13053,8.313,,,2618
02478+3103,A,2,B,13053,9.945,52.8,1.69,2619
02478+3930,B,2,A,13057,9.688,,,2620
02478+3930,B,2,B,13057,10.363,20.0,0.14,2621
02478+5219,C,2,A,13058,8.839,,,2622
02478+5219,C,2,B,13058,9.383,71.0,0.17,2623
02481-3659,A,2,A,13080,8.039,,,2624
02481-3659,A,2,B,13080,10.888,169.6,2.09,2625
02482-4520,A,2,A,13083,9.054,,,2626
02482-4520,A,2,B,13083,11.981,104.0,0.89,2627
02484+5133,C,2,A,13097,9.746,,,2628
02484+5133,C,2,B,13097,13.128,214.0,3.41,2629
02484-0614,A,2,A,13096,9.164,,,2630
02484-0614,A,2,B,13096,10.786,237.0,0.27,2631
02486-3724,A,2,A,13112,7.057,,,2632
02486-3724,A,2,B,13112,8.29,144.58,5.374,2633
02487+0002,D,2,A,13117,12.244,,,2634
02487+0002,D,2,B,13117,12.887,42.0,1.68,2635
02488+4911,C,2,A,13124,7.572,,,2636
02488+4911,C,2,B,13123,10.705,289.2,25.89,2637
02493+1728,A,2,A,13165,5.301,,,2638
02493+1728,A,2,B,13165,8.461,118.8,3.28,2639
02493-1033,A,2,A,13168,8.155,,,2640
02493-1033,A,2,S,13168,9.01,162.7,1.622,2641
02494+0752,D,2,A,13173,12.454,,,2642
02494+0752,D,2,B,13173,13.699,229.0,2.41,2643
02494+3356,A,2,A,13175,7.386,,,2644
02494+3356,A,2,B,13175,10.247,92.1,2.5,2645
02496+3648,A,2,A,13180,8.37,,,2646
02496+3648,A,2,B,13180,11.463,310.0,1.96,2647
02497+5356,D,2,A,13187,9.042,,,2648
02497+5356,D,2,B,13187,12.6,72.0,4.51,2649
02499+0856,A,2,A,13199,9.568,,,2650
02499+0856,A,2,B,13199,9.641,193.8,5.66,2651
02500+3032,C,2,A,13210,6.833,,,2652
02500+3032,C,2,B,13210,10.787,74.2,4.86,2653
02500+4848,A,2,A,13206,8.419,,,2654
02500+4848,A,2,B,13206,10.343,337.0,1.87,2655
02500+6438,A,2,A,13208,7.598,,,2656
02500+6438,A,2,B,13208,10.856,169.6,5.29,2657
02501-6401,A,2,A,13216,9.434,,,2658
02501-6401,A,2,B,13216,9.671,267.0,0.285,2659
02504-0459,A,2,A,13233,7.228,,,2660
02504-0459,A,2,B,13233,10.437,99.8,2.85,2661
02504-4806,A,2,A,13243,9.72,,,2662
02504-4806,A,2,B,13243,9.888,115.7,1.618,2663
02506+2629,A,2,A,13261,11.204,,,2664
02506+2629,A,2,B,13261,11.263,133.0,0.553,2665
02508-3956,C,2,A,13271,6.417,,,2666
02508-3956,C,2,B,13271,10.235,223.0,0.31,2667
02508-4514,A,2,A,13273,9.763,,,2668
02508-4514,A,2,B,13273,9.892,180.7,3.5,2669
02510+3510,A,2,B,13287,10.773,,,2670
02510+3510,A,2,A,13287,11.213,310.0,0.21,2671
02512+6024,A,2,A,13296,7.43,,,2672
02512+6024,A,2,B,13296,9.091,92.8,2.15,2673
02512+6024,A,2,G,13308,8.821,,,2674
02512+6024,A,2,H,13308,9.345,299.0,0.33,2675
02517+3854,D,2,A,13340,8.972,,,2676
02517+3854,D,2,B,13344,9.674,130.8,25.7,2677
02517+4559,A,2,A,13336,8.974,,,2678
02517+4559,A,2,B,13336,10.717,114.0,0.53,2679
02517-5234,A,2,A,13341,8.877,,,2680
02517-5234,A,2,B,13341,9.769,54.5,0.502,2681
02524-5956,A,2,A,13399,8.746,,,2682
02524-5956,A,2,B,13399,9.9,165.4,2.52,2683
02527+0628,A,2,A,13408,7.833,,,2684
02527+0628,A,2,B,13408,7.907,278.6,2.746,2685
02529+5300,B,3,A,13424,7.255,,,2686
02529+5300,B,3,C,13424,7.293,312.2,1.56,2687
02529+5300,B,3,B,13424,8.778,132.0,0.2,2688
02530+5021,A,2,A,13432,9.725,,,2689
02530+5021,A,2,B,13432,11.663,215.0,0.68,2690
02535+5837,A,2,A,13472,9.675,,,2691
02535+5837,A,2,B,13472,12.644,190.0,0.43,2692
02537+3820,A,2,A,13490,5.794,,,2693
02537+3820,A,2,B,13490,6.8,250.0,0.17,2694
02537+6427,A,2,A,13487,8.716,,,2695
02537+6427,A,2,B,13487,10.715,208.0,0.55,2696
02539-4436,A,2,A,13498,8.064,,,2697
02539-4436,A,2,B,13498,9.642,140.0,0.437,2698
02540+1601,A,2,A,13509,7.919,,,2699
02540+1601,A,2,B,13509,9.838,56.0,0.28,2700
02540+4710,B,2,A,13512,6.831,,,2701
02540+4710,B,2,B,13512,10.52,349.0,2.01,2702
02544+0947,A,2,A,13543,9.745,,,2703
02544+0947,A,2,B,13544,10.816,24.41,17.95,2704
02544-2007,A,2,A,13542,9.231,,,2705
02544-2007,A,2,B,13542,11.587,116.0,0.37,2706
02544-6300,A,2,A,13541,8.67,,,2707
02544-6300,A,2,B,13541,10.832,7.4,4.81,2708
02549-1401,B,2,A,13578,7.222,,,2709
02549-1401,B,2,B,13578,10.24,165.0,0.27,2710
02551-1603,B,2,A,13590,8.631,,,2711
02551-1603,B,2,B,13590,12.149,139.0,0.56,2712
02552+5950,B,2,A,13597,8.757,,,2713
02552+5950,B,2,B,13597,8.865,283.0,0.11,2714
02553+8006,A,2,A,13602,7.402,,,2715
02553+8006,A,2,B,13602,10.887,53.0,0.42,2716
02554-2513,A,2,A,13610,12.174,,,2717
02554-2513,A,2,B,13610,12.25,107.0,0.31,2718
02556+2652,A,2,A,13642,7.728,,,2719
02556+2652,A,2,B,13642,10.018,220.3,5.54,2720
02556+8224,A,2,A,13637,9.118,,,2721
02556+8224,A,2,B,13637,9.321,106.0,0.282,2722
02558+3429,D,2,A,13652,8.936,,,2723
02558+3429,D,2,B,13653,10.198,151.2,19.59,2724
02562+0031,B,2,A,13680,9.225,,,2725
02562+0031,B,2,B,13680,10.213,65.0,0.28,2726
02562+7253,A,2,A,13677,8.207,,,2727
02562+7253,A,2,B,13677,9.023,38.8,2.12,2728
02563-2857,A,2,B,13692,8.733,,,2729
02563-2857,A,2,A,13692,9.395,254.0,0.23,2730
02564+4126,C,2,A,13694,8.517,,,2731
02564+4126,C,2,B,13694,10.383,335.0,0.16,2732
02566+5526,C,2,B,13716,11.086,,,2733
02566+5526,C,2,A,13714,11.224,202.4,16.77,2734
02566-3927,A,2,A,13715,8.697,,,2735
02566-3927,A,2,B,13715,9.039,188.8,3.33,2736
02568-3609,C,2,A,13725,10.208,,,2737
02568-3609,C,2,C,13725,11.491,311.0,0.33,2738
02570+1714,A,2,A,13752,8.943,,,2739
02570+1714,A,2,B,13752,11.113,309.1,3.58,2740
02571+1048,A,2,A,13759,10.085,,,2741
02571+1048,A,2,B,13759,12.304,85.8,2.71,2742
02572+0153,A,2,A,13773,8.28,,,2743
02572+0153,A,2,B,13773,8.623,122.0,0.343,2744
02572-0035,A,2,A,13766,7.309,,,2745
02572-0035,A,2,B,13766,9.812,192.4,8.9,2746
02572-2458,A,2,A,13772,8.189,,,2747
02572-2458,A,2,B,13772,8.258,332.9,0.914,2748
02572-2458,D,2,C,13769,7.985,,,2749
02572-2458,D,2,D,13769,11.876,172.0,5.09,2750
02578+4432,B,2,A,13804,9.161,,,2751
02578+4432,B,2,B,13802,9.231,304.53,16.34,2752
02578-5009,A,2,A,13815,8.568,,,2753
02578-5009,A,2,B,13815,11.262,26.7,1.74,2754
02580-1550,A,2,A,13831,8.17,,,2755
02580-1550,A,2,B,13831,10.392,234.9,1.78,2756
02581+6912,A,2,A,13836,7.969,,,2757
02581+6912,A,2,B,13836,10.139,84.3,4.0,2758
02583-4018,A,2,A,13847,3.278,,,2759
02583-4018,A,2,B,13847,4.363,90.06,8.31,2760
02586+2408,A,2,A,13867,8.297,,,2761
02586+2408,A,2,B,13867,8.354,89.0,0.24,2762
02586-4444,A,2,A,13866,10.122,,,2763
02586-4444,A,2,B,13866,11.776,328.3,2.18,2764
02588-3851,A,2,A,13888,10.215,,,2765
02588-3851,A,2,B,13888,10.875,91.0,0.28,2766
02588-5448,B,2,A,13886,10.503,,,2767
02588-5448,B,2,B,13886,13.082,99.0,1.89,2768
02589+2137,A,2,B,13892,7.417,,,2769
02589+2137,A,2,A,13892,7.623,82.7,0.519,2770
02592+2120,A,2,A,13914,5.244,,,2771
02592+2120,A,2,B,13914,5.592,208.1,1.453,2772
02593-1234,A,2,A,13916,10.067,,,2773
02593-1234,A,2,B,13916,11.06,349.0,0.74,2774
02594+0639,A,2,A,13923,7.932,,,2775
02594+0639,A,2,B,13923,8.309,310.0,1.19,2776
02597+0938,B,2,A,13950,8.7,,,2777
02597+0938,B,2,B,13950,11.894,153.0,0.46,2778
02598+5420,B,2,A,13958,9.236,,,2779
02598+5420,B,2,B,13958,12.085,357.2,8.52,2780
03001+3912,A,2,A,13983,9.615,,,2781
03001+3912,A,2,B,13983,11.991,4.8,12.55,2782
03001-4925,D,2,A,13979,9.889,,,2783
03001-4925,D,2,B,13979,13.541,114.0,0.34,2784
03003+0125,B,2,A,14008,10.388,,,2785
03003+0125,B,2,B,14008,10.507,46.0,0.63,2786
03005+1800,A,2,A,14021,6.834,,,2787
03005+1800,A,2,B,14021,9.839,50.1,2.2,2788
03005+3934,B,2,A,14020,9.292,,,2789
03005+3934,B,2,S,14020,10.107,51.0,0.16,2790
03006+4753,A,2,A,14029,8.095,,,2791
03006+4753,A,2,B,14029,9.684,167.0,0.22,2792
03007+4650,A,2,A,14034,9.773,,,2793
03007+4650,A,2,B,14034,9.851,146.0,0.19,2794
03007+5700,A,2,A,14032,9.528,,,2795
03007+5700,A,2,B,14032,11.541,113.3,4.23,2796
03009+5221,A,2,A,14043,5.257,,,2797
03009+5221,A,2,B,14047,6.692,85.03,12.02,2798
03009-4517,A,2,A,14046,8.694,,,2799
03009-4517,A,2,B,14046,10.359,221.0,0.29,2800
03009-4946,C,2,A,14045,9.719,,,2801
03009-4946,C,2,B,14045,12.815,141.0,3.29,2802
03014+0615,A,2,A,14075,9.522,,,2803
03014+0615,A,2,B,14075,9.965,168.0,0.16,2804
03015+3225,A,2,A,14081,7.008,,,2805
03015+3225,A,2,B,14081,8.519,7.72,8.64,2806
03016+2549,A,2,A,14088,10.195,,,2807
03016+2549,A,2,B,14088,10.824,164.0,0.15,2808
03021+4827,A,2,A,14118,9.308,,,2809
03021+4827,A,2,B,14118,9.347,339.0,0.15,2810
03022+2326,C,2,A,14129,8.596,,,2811
03022+2326,C,2,B,14129,12.454,110.0,0.71,2812
03022-2145,A,2,A,14128,9.166,,,2813
03022-2145,A,2,B,14128,9.82,96.7,0.811,2814
03022-2844,D,2,A,14127,10.045,,,2815
03022-2844,D,2,B,14127,13.021,130.0,1.55,2816
03023+1820,A,2,A,14132,10.175,,,2817
03023+1820,A,2,B,14132,10.916,56.0,0.54,2818
03023+4124,A,2,A,14134,8.068,,,2819
03023+4124,A,2,B,14137,9.513,162.7,17.59,2820
03025+6423,C,2,A,14154,8.428,,,2821
03025+6423,C,2,B,14154,11.622,335.0,0.35,2822
03027+0704,B,2,A,14169,10.113,,,2823
03027+0704,B,2,B,14169,12.708,228.0,0.83,2824
03027+7236,A,2,A,14167,9.394,,,2825
03027+7236,A,2,B,14167,9.484,249.0,0.215,2826
03030-0205,A,2,A,14194,7.632,,,2827
03030-0205,A,2,B,14194,9.973,222.6,8.7,2828
03032+4120,A,2,A,14207,8.504,,,2829
03032+4120,A,2,B,14207,10.774,84.0,0.33,2830
03032+7436,A,2,A,14208,10.366,,,2831
03032+7436,A,2,B,14208,11.549,107.0,0.47,2832
03034+6051,A,2,A,14221,9.375,,,2833
03034+6051,A,2,B,14221,10.042,219.8,3.211,2834
03034-7029,D,2,A,14218,8.604,,,2835
03034-7029,D,2,B,14218,11.611,1.0,15.55,2836
03035+2304,A,2,A,14230,7.379,,,2837
03035+2304,A,2,B,14230,9.104,15.0,0.16,2838
03035-1058,B,2,A,14235,7.237,,,2839
03035-1058,B,2,B,14235,10.962,252.0,0.71,2840
03035-5732,B,2,A,14227,9.292,,,2841
03035-5732,B,2,B,14227,12.595,80.0,3.16,2842
03038+7039,A,2,A,14248,8.782,,,2843
03038+7039,A,2,B,14248,11.025,319.7,5.48,2844
03038-0542,A,2,B,14255,9.697,,,2845
03038-0542,A,2,A,14255,9.746,160.0,0.417,2846
03038-2122,B,2,A,14249,7.62,,,2847
03038-2122,B,2,B,14249,11.172,124.5,12.18,2848
03040+2831,B,3,A,14270,8.495,,,2849
03040+2831,B,3,B,14270,10.05,272.0,0.37,2850
03040+2831,B,3,C,14270,11.419,327.5,13.64,2851
03040-4006,A,2,A,14271,9.634,,,2852
03040-4006,A,2,B,14271,9.888,280.0,0.17,2853
03044-0951,A,2,A,14299,9.869,,,2854
03044-0951,A,2,B,14299,11.789,53.0,0.69,2855
03047+6346,A,2,A,14316,8.724,,,2856
03047+6346,A,2,B,14317,9.44,161.01,21.86,2857
03048+0807,A,2,A,14334,10.448,,,2858
03048+0807,A,2,B,14334,11.567,39.7,3.01,2859
03053+1019,A,2,A,14360,10.234,,,2860
03053+1019,A,2,B,14360,11.138,98.0,0.37,2861
03053-4059,A,2,A,14361,7.906,,,2862
03053-4059,A,2,B,14361,9.583,303.0,0.24,2863
03055+2515,A,2,B,14376,6.189,,,2864
03055+2515,A,2,A,14376,6.207,67.0,0.288,2865
03055-3738,C,2,A,14381,9.71,,,2866
03055-3738,C,2,B,14381,11.573,50.0,0.19,2867
03058+3202,B,2,A,14399,7.979,,,2868
03058+3202,B,2,D,14399,11.174,3.0,0.55,2869
03058+4342,A,2,A,14402,7.371,,,2870
03058+4342,A,2,B,14402,8.532,274.4,0.63,2871
03059+7036,A,2,A,14410,10.247,,,2872
03059+7036,A,2,B,14410,11.68,76.0,0.54,2873
03061+7925,B,2,A,14417,5.615,,,2874
03061+7925,B,2,B,14417,9.396,231.3,4.71,2875
03061-1326,A,2,A,14413,8.234,,,2876
03061-1326,A,2,B,14413,8.964,95.9,1.35,2877
03062+6146,A,2,A,14422,9.478,,,2878
03062+6146,A,2,B,14422,9.793,339.0,0.22,2879
03067-1319,A,2,A,14464,8.226,,,2880
03067-1319,A,2,B,14464,10.587,13.3,15.53,2881
03068+0243,A,2,A,14471,8.075,,,2882
03068+0243,A,2,B,14471,11.256,285.0,0.4,2883
03068+4021,B,2,A,14478,9.869,,,2884
03068+4021,B,2,B,14478,12.834,219.0,2.99,2885
03068+4545,A,2,A,14472,7.678,,,2886
03068+4545,A,2,B,14472,10.623,0.2,8.4,2887
03069+2052,A,2,A,14481,9.171,,,2888
03069+2052,A,2,B,14481,9.638,25.0,0.599,2889
03070+6744,A,2,A,14483,9.818,,,2890
03070+6744,A,2,B,14486,11.762,119.2,18.49,2891
03073+0824,B,2,A,14504,9.665,,,2892
03073+0824,B,2,B,14504,10.265,144.3,2.51,2893
03075-7859,A,2,A,14521,5.748,,,2894
03075-7859,A,2,B,14515,8.005,225.13,15.22,2895
03076-0358,A,2,A,14524,11.686,,,2896
03076-0358,A,2,B,14524,11.706,20.0,0.28,2897
03077-0032,A,2,A,14538,9.542,,,2898
03077-0032,A,2,B,14538,11.677,35.3,4.32,2899
03078+6735,D,2,A,14542,9.335,,,2900
03078+6735,D,2,B,14542,10.776,92.0,0.21,2901
03079-2813,D,2,A,14555,10.303,,,2902
03079-2813,D,2,B,14559,12.447,102.0,26.65,2903
03080+3557,A,2,A,14560,8.704,,,2904
03080+3557,A,2,B,14560,11.878,236.0,1.88,2905
03081-4231,A,2,A,14573,9.808,,,2906
03081-4231,A,2,B,14573,10.673,263.2,2.39,2907
03083-1236,B,2,A,14584,9.707,,,2908
03083-1236,B,2,B,14584,10.776,295.5,8.6,2909
03084-2410,D,2,A,14593,10.213,,,2910
03084-2410,D,2,B,14589,11.166,217.97,25.67,2911
03085-0335,A,2,B,14598,9.575,,,2912
03085-0335,A,2,A,14598,9.74,4.0,0.35,2913
03087-4413,A,2,A,14608,9.442,,,2914
03087-4413,A,2,B,14608,9.698,253.0,0.14,2915
03087-4801,A,2,A,14609,8.568,,,2916
03087-4801,A,2,B,14609,9.95,234.0,0.16,2917
03088+3528,A,2,A,14615,7.802,,,2918
03088+3528,A,2,B,14615,10.196,0.4,3.87,2919
03089+6223,B,2,A,14626,6.596,,,2920
03089+6223,B,2,B,14626,9.721,108.0,0.2,2921
03091+1207,A,2,A,14636,11.159,,,2922
03091+1207,A,2,B,14636,11.869,339.0,0.46,2923
03092+0315,C,2,A,14644,8.152,,,2924
03092+0315,C,2,B,14644,12.047,262.0,0.55,2925
03094-4858,A,2,A,14656,8.25,,,2926
03094-4858,A,2,B,14656,10.03,171.0,19.57,2927
03095+4544,B,2,A,14669,10.324,,,2928
03095+4544,B,2,B,14669,12.496,23.0,0.39,2929
03096+0512,A,2,A,14676,8.577,,,2930
03096+0512,A,2,B,14676,9.196,226.0,0.2,2931
03096-0100,C,2,A,14680,9.323,,,2932
03096-0100,C,2,B,14680,10.861,61.0,0.25,2933
03101+2145,B,2,A,14715,8.344,,,2934
03101+2145,B,2,B,14715,8.373,110.0,0.79,2935
03101-6355,A,2,A,14709,7.345,,,2936
03101-6355,A,2,S,14709,7.586,284.0,0.126,2937
03102-2527,A,2,A,14728,8.911,,,2938
03102-2527,A,2,B,14728,10.268,304.0,0.28,2939
03103+4732,A,2,A,14734,8.645,,,2940
03103+4732,A,2,B,14734,11.974,79.0,1.11,2941
03108+6347,A,2,A,14780,7.988,,,2942
03108+6347,A,2,B,14780,8.706,322.09,5.969,2943
03114-0043,A,2,A,14825,10.132,,,2944
03114-0043,A,2,B,14825,10.362,178.0,0.309,2945
03118-0718,A,2,A,14848,10.611,,,2946
03118-0718,A,2,B,14848,10.709,36.0,0.21,2947
03119+6131,A,2,A,14864,10.319,,,2948
03119+6131,A,2,B,14864,12.449,101.0,0.43,2949
03119-3017,A,2,A,14855,9.059,,,2950
03119-3017,A,2,B,14855,10.503,335.8,1.36,2951
03121-2859,A,2,A,14879,4.04,,,2952
03121-2859,A,2,B,14879,7.192,298.3,4.46,2953
03122+3713,A,2,A,14886,8.037,,,2954
03122+3713,A,2,B,14886,8.309,126.75,2.717,2955
03124-4425,B,3,A,14913,6.557,,,2956
03124-4425,B,3,B,14913,7.268,180.9,0.681,2957
03124-4425,B,3,C,14913,9.092,193.8,3.79,2958
03125+1857,B,2,A,14929,9.142,,,2959
03125+1857,B,2,B,14929,9.447,163.0,0.1,2960
03125-0803,D,2,A,14918,9.188,,,2961
03125-0803,D,2,B,14918,11.095,253.0,0.35,2962
03125-7755,A,2,A,14926,8.584,,,2963
03125-7755,A,2,B,14926,11.553,357.0,0.44,2964
03126+6914,A,2,A,14932,11.514,,,2965
03126+6914,A,2,B,14932,11.579,234.0,0.19,2966
03126+7133,A,2,A,14944,8.483,,,2967
03126+7133,A,2,B,14944,8.557,162.7,1.133,2968
03126-6522,C,2,A,14942,9.749,,,2969
03126-6522,C,2,B,14942,12.037,207.0,0.18,2970
03128-3807,A,2,A,14960,10.175,,,2971
03128-3807,A,2,B,14960,10.6,309.8,0.808,2972
03130+4417,A,2,A,14969,8.628,,,2973
03130+4417,A,2,B,14969,8.807,329.5,0.861,2974
03136+3909,A,2,A,15019,8.807,,,2975
03136+3909,A,2,B,15017,9.038,311.0,11.72,2976
03136-4712,A,2,A,15018,9.192,,,2977
03136-4712,A,2,B,15018,9.309,258.3,0.717,2978
03137-6550,B,2,A,15031,8.617,,,2979
03137-6550,B,2,B,15031,11.583,37.8,13.44,2980
03140+0044,A,2,A,15058,8.214,,,2981
03140+0044,A,2,B,15058,8.26,139.8,1.13,2982
03140-0834,D,2,A,15053,8.591,,,2983
03140-0834,D,2,B,15053,12.4,220.0,3.25,2984
03144-6029,A,2,A,15075,10.106,,,2985
03144-6029,A,2,B,15075,10.321,112.2,0.784,2986
03150+3543,A,2,A,15124,9.513,,,2987
03150+3543,A,2,B,15124,10.234,15.9,0.861,2988
03151-4831,A,2,A,15133,9.495,,,2989
03151-4831,A,2,B,15133,10.937,16.0,1.3,2990
03152-6427,D,2,A,15140,6.727,,,2991
03152-6427,D,2,B,15144,9.508,105.2,19.12,2992
03153+5955,A,2,A,15150,9.285,,,2993
03153+5955,A,2,B,15150,10.436,162.0,0.7,2994
03155-5749,A,2,A,15176,8.895,,,2995
03155-5749,A,2,B,15176,11.588,159.7,9.78,2996
03156+6108,B,2,A,15180,7.707,,,2997
03156+6108,B,2,B,15180,10.266,228.0,0.23,2998
03158+5057,A,2,A,15193,6.737,,,2999
03158+5057,A,2,B,15193,8.294,101.7,1.486,3000
03158-1822,A,2,A,15194,8.491,,,3001
03158-1822,A,2,B,15194,11.561,223.0,1.44,3002
03160-0555,A,2,A,15203,6.373,,,3003
03160-0555,A,2,B,15203,8.05,9.6,0.976,3004
03162+5810,B,2,A,15220,10.987,,,3005
03162+5810,B,2,B,15220,11.266,10.6,4.88,3006
03163+1920,A,2,A,15227,8.26,,,3007
03163+1920,A,2,B,15227,9.807,331.7,0.918,3008
03163-6317,A,2,A,15225,9.517,,,3009
03163-6317,A,2,S,15225,9.519,71.0,0.447,3010
03168+0501,A,2,A,15253,9.458,,,3011
03168+0501,A,2,B,15253,11.868,270.0,2.51,3012
03168-2204,A,2,A,15257,8.562,,,3013
03168-2204,A,2,B,15257,10.888,50.2,1.51,3014
03172+4029,A,2,A,15282,6.797,,,3015
03172+4029,A,2,B,15282,7.838,29.3,3.59,3016
03172-2302,A,2,A,15280,9.677,,,3017
03172-2302,A,2,B,15280,10.007,256.46,9.04,3018
03173-4324,A,2,A,15293,8.843,,,3019
03173-4324,A,2,B,15293,11.862,161.0,2.28,3020
03174+2619,C,2,A,15300,11.295,,,3021
03174+2619,C,2,B,15300,13.767,343.0,3.25,3022
03175+6539,A,2,A,15309,7.027,,,3023
03175+6539,A,2,B,15309,7.487,67.2,0.468,3024
03177+3838,A,2,A,15329,7.88,,,3025
03177+3838,A,2,B,15329,8.474,255.9,0.798,3026
03177-4020,A,2,A,15328,9.05,,,3027
03177-4020,A,2,B,15328,11.015,120.7,2.47,3028
03177-6305,A,2,A,15325,8.349,,,3029
03177-6305,A,2,B,15325,10.665,358.2,3.69,3030
03180-1034,A,2,A,15356,9.16,,,3031
03180-1034,A,2,B,15356,11.345,303.1,3.27,3032
03181+0803,B,2,A,15368,11.941,,,3033
03181+0803,B,2,B,15368,13.187,307.0,0.91,3034
03182-3823,C,2,A,15370,8.536,,,3035
03182-3823,C,2,B,15370,12.827,308.0,0.52,3036
03184-0056,A,2,A,15383,5.674,,,3037
03184-0056,A,2,B,15383,8.015,252.0,1.21,3038
03184-2231,A,2,A,15382,5.324,,,3039
03184-2231,A,2,B,15382,6.569,257.0,0.296,3040
03186-4238,A,2,A,15407,8.605,,,3041
03186-4238,A,2,B,15407,11.248,256.4,3.8,3042
03187+4702,A,2,A,15410,8.537,,,3043
03187+4702,A,2,B,15410,10.403,86.9,3.48,3044
03187-1834,A,2,A,15411,5.924,,,3045
03187-1834,A,2,B,15411,8.371,120.51,7.678,3046
03187-2526,A,2,A,15418,8.727,,,3047
03187-2526,A,2,B,15418,11.492,310.7,4.57,3048
03189-0101,A,2,A,15430,10.304,,,3049
03189-0101,A,2,B,15430,10.504,207.0,0.589,3050
03193+4557,D,2,A,15455,10.324,,,3051
03193+4557,D,2,B,15455,10.768,291.5,7.68,3052
03193-5053,A,2,A,15451,9.004,,,3053
03193-5053,A,2,B,15451,9.147,278.0,0.21,3054
03194-4850,C,2,A,15459,9.306,,,3055
03194-4850,C,2,B,15459,12.658,317.9,6.65,3056
03195-4506,A,2,A,15473,9.202,,,3057
03195-4506,A,2,B,15473,11.387,318.0,0.94,3058
03196+6714,A,2,B,15482,8.816,,,3059
03196+6714,A,2,A,15482,8.963,83.7,1.16,3060
03196-0558,A,2,A,15480,10.197,,,3061
03196-0558,A,2,B,15480,12.054,92.0,1.49,3062
03199-3014,A,2,A,15511,9.211,,,3063
03199-3014,A,2,B,15511,9.224,322.6,1.533,3064
03201-6247,C,2,A,15535,10.375,,,3065
03201-6247,C,2,B,15535,12.712,37.0,0.22,3066
03203+1944,A,2,A,15550,8.377,,,3067
03203+1944,A,2,B,15550,8.451,251.34,7.14,3068
03203+2341,A,2,A,15552,7.655,,,3069
03203+2341,A,2,B,15552,9.9,316.2,2.66,3070
03206+1911,A,2,A,15566,8.873,,,3071
