CCDM,Qual,Ncomp,comp_id,HIP,Hp,theta,rho,recno
00080-1414,B,2,A,645,9.79,289.59,9.65,127
00083-3242,D,2,A,673,8.435,,,128
00083-3242,D,2,B,673,11.71,219.0,0.94,129
00083-4257,A,2,A,674,10.328,,,130
00083-4257,A,2,B,674,11.427,294.0,1.0,131
00084+4157,D,2,A,683,8.766,,,132
00084+4157,D,2,B,683,12.486,271.0,1.48,133
00085+3456,A,2,A,689,8.27,,,134
00085+3456,A,2,B,689,8.312,358.0,0.1,135
00087-5220,A,2,A,702,8.734,,,136
00087-5220,A,2,B,702,10.898,125.5,8.09,137
00089+0042,A,2,A,717,7.666,,,138
00089+0042,A,2,B,717,9.311,211.0,0.25,139
00089-2613,A,2,A,721,9.43,,,140
00089-2613,A,2,B,721,11.709,296.0,0.26,141
00090-5400,A,2,A,730,6.743,,,142
00090-5400,A,2,B,730,8.067,88.0,0.239,143
00091-5001,A,2,A,743,8.655,,,144
00091-5001,A,2,B,743,11.564,320.0,1.06,145
00092+4443,A,2,A,747,8.869,,,146
00092+4443,A,2,B,750,10.729,77.67,15.55,147
00093+7943,A,2,A,760,6.769,,,148
00093+7943,A,2,B,760,6.894,21.7,0.705,149
00093-2759,A,2,A,761,6.233,,,150
00093-2759,A,2,B,761,6.293,261.0,1.433,151
00094+5840,A,2,A,763,8.528,,,152
00094+5840,A,2,B,763,9.893,169.0,0.26,153
00095+1907,A,2,A,768,8.287,,,154
00095+1907,A,2,B,768,9.984,347.0,0.374,155
00096+6240,D,2,A,779,9.664,,,156
00096+6240,D,2,B,779,11.487,277.0,0.22,157
00096-2123,A,2,A,777,9.082,,,158
00096-2123,A,2,B,777,12.343,353.0,0.56,159
00097-3719,A,2,A,786,8.591,,,160
00097-3719,A,2,B,786,10.777,120.0,0.34,161
00097-5612,A,2,A,782,8.533,,,162
00097-5612,A,2,B,782,11.46,11.1,10.69,163
00098-3347,A,2,A,794,9.262,,,164
00098-3347,A,2,B,794,10.58,91.0,0.451,165
00099+0827,A,2,A,795,9.498,,,166
00099+0827,A,2,B,795,9.555,275.1,5.27,167
00100-2829,A,2,A,811,10.467,,,168
00100-2829,A,2,B,811,11.965,226.1,8.76,169
00101+3825,A,2,A,823,11.294,,,170
00101+3825,A,2,B,823,11.921,314.0,0.21,171
00101+4623,A,2,A,817,7.86,,,172
00101+4623,A,2,B,817,9.21,82.34,5.05,173
00102-4909,A,2,A,831,9.266,,,174
00102-4909,A,2,B,831,9.625,264.8,0.962,175
00105-7339,A,2,A,853,10.445,,,176
00105-7339,A,2,B,853,11.138,135.0,0.5,177
00106-4917,B,2,A,862,10.156,,,178
00106-4917,B,2,B,862,13.035,338.0,1.77,179
00106-7313,A,2,A,865,6.971,,,180
00106-7313,A,2,S,865,8.551,222.0,0.3,181
00107+5453,D,2,A,871,9.113,,,182
00107+5453,D,2,B,871,11.312,249.4,19.21,183
00108+5846,A,2,A,876,8.768,,,184
00108+5846,A,2,B,876,9.502,274.0,0.14,185
00108-5729,A,2,A,883,8.829,,,186
00108-5729,A,2,B,883,9.567,182.7,3.21,187
00113-2044,B,2,A,911,11.952,,,188
00113-2044,B,2,B,911,13.725,169.4,8.57,189
00113-4022,B,2,A,913,7.898,,,190
00113-4022,B,2,B,913,11.607,56.0,1.26,191
00115+3556,B,2,A,923,9.563,,,192
00115+3556,B,2,B,923,12.979,4.0,0.45,193
00115-4938,A,2,A,924,9.286,,,194
00115-4938,A,2,B,924,11.211,303.2,6.61,195
00115-5545,A,2,A,927,8.858,,,196
00115-5545,A,2,B,927,9.657,80.0,0.17,197
00116+5558,A,2,A,945,7.986,,,198
00116+5558,A,2,B,945,8.539,211.4,1.328,199
00116-0305,A,2,A,931,7.9,,,200
00116-0305,A,2,B,931,9.453,291.81,7.9,201
00117-0942,B,2,A,947,8.695,,,202
00117-0942,B,2,B,947,11.838,84.0,0.59,203
00118+2825,A,2,A,956,7.9,,,204
00118+2825,A,2,B,956,9.202,74.3,0.51,205
00118+6608,A,2,A,957,7.46,,,206
00118+6608,A,2,B,957,9.568,210.6,1.53,207
00119-7529,D,2,A,965,7.652,,,208
00119-7529,D,2,B,965,11.49,295.2,4.82,209
00121+5337,A,2,A,981,7.245,,,210
00121+5337,A,2,B,981,8.459,278.0,0.17,211
00121-5832,A,2,A,975,8.444,,,212
00121-5832,A,2,B,975,8.611,259.0,0.12,213
00122+4647,A,2,A,984,9.701,,,214
00122+4647,A,2,S,984,10.351,138.0,0.16,215
00124+4558,A,2,A,995,8.66,,,216
00124+4558,A,2,B,995,9.893,91.0,0.12,217
00125-3219,A,2,A,1001,9.505,,,218
00125-3219,A,2,B,1001,10.855,186.0,0.16,219
00126+4442,A,2,A,1009,6.734,,,220
00126+4442,A,2,B,1009,9.771,29.0,0.83,221
00126-1142,A,2,A,1005,8.981,,,222
00126-1142,A,2,S,1005,8.981,234.0,0.27,223
00130+0257,A,2,A,1040,9.297,,,224
00130+0257,A,2,B,1040,9.698,156.0,0.337,225
00132+1144,A,2,A,1059,10.48,,,226
00132+1144,A,2,B,1059,11.684,252.0,0.32,227
00132+2023,A,2,A,1055,10.764,,,228
00132+2023,A,2,B,1055,12.238,181.0,0.36,229
00132-3021,C,2,A,1060,10.651,,,230
00132-3021,C,2,B,1060,13.651,290.0,3.72,231
00133+6919,D,2,A,1068,13.312,,,232
00133+6919,D,2,S,1068,13.363,35.0,0.87,233
00134+2659,A,2,A,1076,6.772,,,234
00134+2659,A,2,B,1076,7.669,178.0,0.321,235
00135-0008,D,2,B,1082,11.554,,,236
00135-0008,D,2,A,1082,11.589,71.1,5.33,237
00135-3650,B,2,A,1083,11.352,,,238
00135-3650,B,2,B,1083,11.931,282.0,0.22,239
00137+0635,A,2,A,1095,9.395,,,240
00137+0635,A,2,B,1095,9.625,109.1,1.28,241
00137+1838,D,2,A,1098,8.307,,,242
00137+1838,D,2,B,1098,11.195,198.0,1.19,243
00143-2732,A,2,A,1144,7.932,,,244
00143-2732,A,2,B,1144,8.877,328.0,0.14,245
00144+4351,A,2,A,1152,8.442,,,246
00144+4351,A,2,B,1152,10.477,348.8,4.36,247
00144+6020,A,2,A,1148,8.729,,,248
00144+6020,A,2,B,1148,11.126,319.0,0.55,249
00146+5350,A,2,A,1167,8.348,,,250
00146+5350,A,2,B,1167,11.263,12.4,2.33,251
00147-1245,A,2,A,1177,8.151,,,252
00147-1245,A,2,B,1177,11.145,7.0,7.38,253
00148-0018,B,2,A,1189,8.233,,,254
00148-0018,B,2,B,1189,11.805,65.6,5.76,255
00148-3736,A,2,A,1186,10.351,,,256
00148-3736,A,2,B,1186,11.461,21.8,4.35,257
00149+2133,A,2,A,1194,7.268,,,258
00149+2133,A,2,B,1194,10.408,191.4,1.68,259
00149-3209,A,2,A,1190,8.807,,,260
00149-3209,A,2,B,1190,8.928,87.0,0.465,261
00150+0849,A,2,A,1196,6.1,,,262
00150+0849,A,2,B,1197,7.715,147.47,11.464,263
00150+6607,A,2,A,1200,8.665,,,264
00150+6607,A,2,B,1200,9.494,194.0,0.12,265
00152+7801,A,2,A,1216,8.502,,,266
00152+7801,A,2,B,1216,10.477,192.53,8.17,267
00153-4006,A,2,A,1225,7.667,,,268
00153-4006,A,2,B,1226,9.913,1.79,13.87,269
00155+5202,D,2,A,1244,9.181,,,270
00155+5202,D,2,B,1244,12.722,268.0,2.88,271
00156-2421,A,2,A,1248,9.791,,,272
00156-2421,A,2,B,1248,10.397,216.5,0.751,273
00158-1159,A,2,A,1260,8.927,,,274
00158-1159,A,2,B,1260,10.805,236.73,14.49,275
00159-0536,A,2,A,1265,7.772,,,276
00159-0536,A,2,B,1265,10.01,198.8,4.73,277
00160-6754,B,2,A,1278,8.548,,,278
00160-6754,B,2,B,1278,11.611,336.5,9.86,279
00161-7115,A,2,A,1281,9.591,,,280
00161-7115,A,2,B,1281,11.015,176.0,0.61,281
00162+7657,A,2,A,1296,6.98,,,282
00162+7657,A,2,B,1296,7.23,55.2,0.925,283
00164+4336,C,2,A,1302,6.176,,,284
00164+4336,C,2,B,1302,10.203,74.8,9.04,285
00164-2235,A,2,A,1306,8.242,,,286
00164-2235,A,2,B,1306,9.959,192.0,0.18,287
00164-7024,A,2,A,1309,7.803,,,288
00164-7024,A,2,B,1309,8.26,107.0,0.14,289
00166+0814,B,2,A,1319,6.319,,,290
00166+0814,B,2,B,1319,9.923,244.0,0.48,291
